Date,Open,High,Low,Close,Adjsutment close,Volume
28-12-1981,-0.021857485,-0.02199503,-0.021707698,-0.021887468,-0.021156149,-0.59132056
29-12-1981,-0.021829699,-0.02191214,-0.021623457,-0.02180404,-0.021080769,-0.634575473
30-12-1981,-0.021635201,-0.021746359,-0.021426893,-0.021609373,-0.020904824,-0.606707063
31-12-1981,-0.021635201,-0.021746359,-0.021426893,-0.021609373,-0.020904824,-0.527968991
04-01-1982,-0.021635201,-0.021773989,-0.021454973,-0.021637183,-0.020929951,-0.469798592
05-01-1982,-0.021857485,-0.02199503,-0.021707698,-0.021887468,-0.021156149,-0.593911145
06-01-1982,-0.021940841,-0.022077921,-0.02176386,-0.021943087,-0.02120646,-0.487932684
07-01-1982,-0.022274267,-0.022409483,-0.022128957,-0.022304661,-0.021533282,-0.47403773
08-01-1982,-0.02213534,-0.022243702,-0.021932343,-0.022109944,-0.021357278,-0.521139268
11-01-1982,-0.022385459,-0.022520053,-0.022213199,-0.022388089,-0.021608662,-0.602703432
12-01-1982,-0.022524387,-0.022658204,-0.022353602,-0.022527137,-0.021734353,-0.509520889
13-01-1982,-0.022552172,-0.022685834,-0.022381683,-0.022554946,-0.02175948,-0.573186468
14-01-1982,-0.022385459,-0.022492423,-0.022185119,-0.02236028,-0.021583535,-0.629394304
15-01-1982,-0.022107554,-0.022188442,-0.021904262,-0.022082135,-0.021332152,-0.555837402
18-01-1982,-0.022024198,-0.022105551,-0.021820021,-0.021998706,-0.021256714,-0.621387042
19-01-1982,-0.022079769,-0.022216072,-0.021932343,-0.022109944,-0.021357278,-0.524985894
20-01-1982,-0.022051983,-0.022160811,-0.021848101,-0.022026516,-0.02128184,-0.629001791
21-01-1982,-0.021968627,-0.022077921,-0.02176386,-0.021943087,-0.02120646,-0.602703432
22-01-1982,-0.021940841,-0.022050291,-0.021735779,-0.021915278,-0.021181334,-0.63449697
25-01-1982,-0.022051983,-0.022188442,-0.021876182,-0.022054325,-0.021306967,-0.56282413
